"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"8600000US01824","ZCTA5 01824","123087","9978",
"8600000US01826","ZCTA5 01826","92533","7305",
"8600000US01827","ZCTA5 01827","158523","27783",
"8600000US01830","ZCTA5 01830","62318","5112",
"8600000US01832","ZCTA5 01832","67016","6000",
"8600000US01833","ZCTA5 01833","122600","18713",
"8600000US01834","ZCTA5 01834","111056","11553",
"8600000US01835","ZCTA5 01835","84638","4643",
"8600000US01840","ZCTA5 01840","25077","5701",
"8600000US01841","ZCTA5 01841","45486","2182",
"8600000US01843","ZCTA5 01843","54283","8983",
"8600000US01844","ZCTA5 01844","83532","4101",
"8600000US01845","ZCTA5 01845","113916","6936",
"8600000US01850","ZCTA5 01850","55837","5885",
"8600000US01851","ZCTA5 01851","69548","6342",
"8600000US01852","ZCTA5 01852","65445","6784",
"8600000US01854","ZCTA5 01854","55461","6499",
"8600000US01860","ZCTA5 01860","79909","17781",
"8600000US01862","ZCTA5 01862","107964","13741",
"8600000US01863","ZCTA5 01863","112568","13657",
"8600000US01864","ZCTA5 01864","123042","15826",
"8600000US01867","ZCTA5 01867","131515","19223",
"8600000US01876","ZCTA5 01876","105480","6445",
"8600000US01879","ZCTA5 01879","114313","13918",
"8600000US01880","ZCTA5 01880","104609","8868",
"8600000US01886","ZCTA5 01886","149437","9565",
"8600000US01887","ZCTA5 01887","133873","7782",
"8600000US01890","ZCTA5 01890","173058","12175",
"8600000US01901","ZCTA5 01901","26403","20671",
"8600000US01902","ZCTA5 01902","52834","6321",
"8600000US01904","ZCTA5 01904","87639","14346",
"8600000US01905","ZCTA5 01905","62623","5320",
"8600000US01906","ZCTA5 01906","88348","6693",
"8600000US01907","ZCTA5 01907","100927","21788",
"8600000US01908","ZCTA5 01908","94243","3977",
"8600000US01913","ZCTA5 01913","81027","7271",
"8600000US01915","ZCTA5 01915","84354","6086",
"8600000US01921","ZCTA5 01921","179375","25472",
"8600000US01922","ZCTA5 01922","176250","82499",
"8600000US01923","ZCTA5 01923","99269","9160",
"8600000US01929","ZCTA5 01929","109323","24454",
"8600000US01930","ZCTA5 01930","76260","6216",
"8600000US01937","ZCTA5 01937","-","**",
"8600000US01938","ZCTA5 01938","103941","8053",
"8600000US01940","ZCTA5 01940","136023","19547",
"8600000US01944","ZCTA5 01944","178250","28586",
"8600000US01945","ZCTA5 01945","131293","13052",
"8600000US01949","ZCTA5 01949","145525","29479",
"8600000US01950","ZCTA5 01950","110740","17698",
"8600000US01951","ZCTA5 01951","115719","17236",
"8600000US01952","ZCTA5 01952","81755","11979",
"8600000US01960","ZCTA5 01960","80679","3206",
"8600000US01966","ZCTA5 01966","87149","9725",
"8600000US01969","ZCTA5 01969","118851","12134",
"8600000US01970","ZCTA5 01970","66495","4803",
"8600000US01982","ZCTA5 01982","115203","16554",
"8600000US01983","ZCTA5 01983","144258","19012",
"8600000US01984","ZCTA5 01984","142734","33464",
"8600000US01985","ZCTA5 01985","151500","23072",
"8600000US02019","ZCTA5 02019","103258","7053",
"8600000US02021","ZCTA5 02021","107442","9140",
"8600000US02025","ZCTA5 02025","141036","29180",
"8600000US02026","ZCTA5 02026","101730","4743",
"8600000US02030","ZCTA5 02030","250,000+","***",
"8600000US02032","ZCTA5 02032","158065","29018",
"8600000US02035","ZCTA5 02035","92978","6624",
"8600000US02038","ZCTA5 02038","118193","9910",
"8600000US02043","ZCTA5 02043","147520","18436",
"8600000US02045","ZCTA5 02045","105403","10289",
"8600000US02047","ZCTA5 02047","87174","85771",
"8600000US02048","ZCTA5 02048","120694","11405",
"8600000US02050","ZCTA5 02050","104209","6504",
"8600000US02052","ZCTA5 02052","174417","29914",
"8600000US02053","ZCTA5 02053","139688","13567",
"8600000US02054","ZCTA5 02054","114255","23707",
"8600000US02056","ZCTA5 02056","159914","18370",
"8600000US02061","ZCTA5 02061","162091","10949",
"8600000US02062","ZCTA5 02062","90341","7147",
"8600000US02066","ZCTA5 02066","127646","19015",
"8600000US02067","ZCTA5 02067","144280","11560",
"8600000US02071","ZCTA5 02071","114044","13937",
"8600000US02072","ZCTA5 02072","90201","7857",
"8600000US02081","ZCTA5 02081","124528","10550",
"8600000US02090","ZCTA5 02090","159776","11813",
"8600000US02093","ZCTA5 02093","136563","14352",
"8600000US02108","ZCTA5 02108","152442","38135",
"8600000US02109","ZCTA5 02109","156119","11006",
"8600000US02110","ZCTA5 02110","111971","28722",
"8600000US02111","ZCTA5 02111","52663","20062",
"8600000US02113","ZCTA5 02113","97686","7795",
"8600000US02114","ZCTA5 02114","107162","7437",
"8600000US02115","ZCTA5 02115","45827","3911",
"8600000US02116","ZCTA5 02116","115825","9166",
"8600000US02118","ZCTA5 02118","62850","9935",
"8600000US02119","ZCTA5 02119","32424","5167",
