"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"8600000US00601","ZCTA5 00601","13092","1049",
"8600000US00602","ZCTA5 00602","16358","1082",
"8600000US00603","ZCTA5 00603","16603","963",
"8600000US00606","ZCTA5 00606","12832","2393",
"8600000US00610","ZCTA5 00610","19309","1555",
"8600000US00612","ZCTA5 00612","18171","944",
"8600000US00616","ZCTA5 00616","16018","2211",
"8600000US00617","ZCTA5 00617","16735","1795",
"8600000US00622","ZCTA5 00622","15206","1774",
"8600000US00623","ZCTA5 00623","16280","1084",
"8600000US00624","ZCTA5 00624","17578","1515",
"8600000US00627","ZCTA5 00627","16831","996",
"8600000US00631","ZCTA5 00631","9681","2830",
"8600000US00637","ZCTA5 00637","16887","1731",
"8600000US00638","ZCTA5 00638","14916","1612",
"8600000US00641","ZCTA5 00641","16795","1139",
"8600000US00646","ZCTA5 00646","29320","3963",
"8600000US00647","ZCTA5 00647","13674","1285",
"8600000US00650","ZCTA5 00650","19631","3082",
"8600000US00652","ZCTA5 00652","21650","2388",
"8600000US00653","ZCTA5 00653","12915","1420",
"8600000US00656","ZCTA5 00656","16902","1342",
"8600000US00659","ZCTA5 00659","17201","1310",
"8600000US00660","ZCTA5 00660","19394","2271",
"8600000US00662","ZCTA5 00662","17180","1326",
"8600000US00664","ZCTA5 00664","15253","2928",
"8600000US00667","ZCTA5 00667","13766","1045",
"8600000US00669","ZCTA5 00669","14816","1676",
"8600000US00670","ZCTA5 00670","13427","2770",
"8600000US00674","ZCTA5 00674","19211","1991",
"8600000US00676","ZCTA5 00676","14146","1309",
"8600000US00677","ZCTA5 00677","21673","3954",
"8600000US00678","ZCTA5 00678","16200","2190",
"8600000US00680","ZCTA5 00680","13911","751",
"8600000US00682","ZCTA5 00682","15029","1829",
"8600000US00683","ZCTA5 00683","15523","1663",
"8600000US00685","ZCTA5 00685","14617","949",
"8600000US00687","ZCTA5 00687","20589","1205",
"8600000US00688","ZCTA5 00688","17231","1840",
"8600000US00690","ZCTA5 00690","17622","5325",
"8600000US00692","ZCTA5 00692","19094","1195",
"8600000US00693","ZCTA5 00693","19119","1070",
"8600000US00694","ZCTA5 00694","-","**",
"8600000US00698","ZCTA5 00698","15019","1086",
"8600000US00703","ZCTA5 00703","17129","1542",
"8600000US00704","ZCTA5 00704","14293","1877",
"8600000US00705","ZCTA5 00705","19516","1383",
"8600000US00707","ZCTA5 00707","19596","3574",
"8600000US00714","ZCTA5 00714","17095","2179",
"8600000US00715","ZCTA5 00715","13070","1684",
"8600000US00716","ZCTA5 00716","18818","1619",
"8600000US00717","ZCTA5 00717","12251","1529",
"8600000US00718","ZCTA5 00718","19318","1806",
"8600000US00719","ZCTA5 00719","19757","2319",
"8600000US00720","ZCTA5 00720","13408","1257",
"8600000US00723","ZCTA5 00723","15826","1839",
"8600000US00725","ZCTA5 00725","20920","1142",
"8600000US00727","ZCTA5 00727","31401","1729",
"8600000US00728","ZCTA5 00728","19047","948",
"8600000US00729","ZCTA5 00729","20920","1473",
"8600000US00730","ZCTA5 00730","15431","821",
"8600000US00731","ZCTA5 00731","17083","3436",
"8600000US00735","ZCTA5 00735","19184","2673",
"8600000US00736","ZCTA5 00736","21000","1371",
"8600000US00738","ZCTA5 00738","19404","1339",
"8600000US00739","ZCTA5 00739","20098","1581",
"8600000US00740","ZCTA5 00740","13136","5186",
"8600000US00741","ZCTA5 00741","22073","8347",
"8600000US00745","ZCTA5 00745","22782","1256",
"8600000US00751","ZCTA5 00751","17567","1526",
"8600000US00754","ZCTA5 00754","18895","1551",
"8600000US00757","ZCTA5 00757","17640","2025",
"8600000US00765","ZCTA5 00765","15271","2912",
"8600000US00766","ZCTA5 00766","19746","1446",
"8600000US00767","ZCTA5 00767","15999","1365",
"8600000US00769","ZCTA5 00769","19928","2071",
"8600000US00771","ZCTA5 00771","21499","1776",
"8600000US00772","ZCTA5 00772","15658","1167",
"8600000US00773","ZCTA5 00773","20829","2080",
"8600000US00775","ZCTA5 00775","23281","4377",
"8600000US00777","ZCTA5 00777","19139","1610",
"8600000US00778","ZCTA5 00778","33763","2375",
"8600000US00780","ZCTA5 00780","24287","3232",
"8600000US00782","ZCTA5 00782","12492","1329",
"8600000US00783","ZCTA5 00783","14748","1363",
"8600000US00784","ZCTA5 00784","16680","1313",
"8600000US00786","ZCTA5 00786","-","**",
"8600000US00791","ZCTA5 00791","19793","1105",
"8600000US00794","ZCTA5 00794","15970","1628",
"8600000US00795","ZCTA5 00795","20700","1095",
"8600000US00901","ZCTA5 00901","20943","3359",
"8600000US00906","ZCTA5 00906","102917","38673",
"8600000US00907","ZCTA5 00907","33167","4534",
"8600000US00909","ZCTA5 00909","16875","2691",
"8600000US00911","ZCTA5 00911","32833","4575",
"8600000US00912","ZCTA5 00912","22268","3482",
"8600000US00913","ZCTA5 00913","6878","2268",
"8600000US00915","ZCTA5 00915","13839","951",
"8600000US00917","ZCTA5 00917","14307","1172",
"8600000US00918","ZCTA5 00918","23434","3449",
"8600000US00920","ZCTA5 00920","25841","1838",
"8600000US00921","ZCTA5 00921","19358","1517",
"8600000US00923","ZCTA5 00923","14241","1093",
"8600000US00924","ZCTA5 00924","18832","1762",
"8600000US00925","ZCTA5 00925","9468","1562",
"8600000US00926","ZCTA5 00926","34781","1608",
"8600000US00927","ZCTA5 00927","33502","2665",
