"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"8600000US00601","ZCTA5 00601","14361","1353",
"8600000US00602","ZCTA5 00602","16807","1241",
"8600000US00603","ZCTA5 00603","16049","999",
"8600000US00606","ZCTA5 00606","12119","2092",
"8600000US00610","ZCTA5 00610","19898","1756",
"8600000US00612","ZCTA5 00612","18741","1228",
"8600000US00616","ZCTA5 00616","17007","2046",
"8600000US00617","ZCTA5 00617","16984","1847",
"8600000US00622","ZCTA5 00622","14615","2067",
"8600000US00623","ZCTA5 00623","17130","1220",
"8600000US00624","ZCTA5 00624","16701","867",
"8600000US00627","ZCTA5 00627","17000","1062",
"8600000US00631","ZCTA5 00631","10244","2034",
"8600000US00637","ZCTA5 00637","17405","1559",
"8600000US00638","ZCTA5 00638","16843","1242",
"8600000US00641","ZCTA5 00641","15792","1228",
"8600000US00646","ZCTA5 00646","30573","2789",
"8600000US00647","ZCTA5 00647","14223","1574",
"8600000US00650","ZCTA5 00650","19764","2399",
"8600000US00652","ZCTA5 00652","21987","2099",
"8600000US00653","ZCTA5 00653","12072","1529",
"8600000US00656","ZCTA5 00656","17355","1443",
"8600000US00659","ZCTA5 00659","17715","1548",
"8600000US00660","ZCTA5 00660","19030","1578",
"8600000US00662","ZCTA5 00662","16834","1517",
"8600000US00664","ZCTA5 00664","14595","2884",
"8600000US00667","ZCTA5 00667","14013","1064",
"8600000US00669","ZCTA5 00669","16922","1593",
"8600000US00670","ZCTA5 00670","14245","2726",
"8600000US00674","ZCTA5 00674","18299","1461",
"8600000US00676","ZCTA5 00676","14992","1348",
"8600000US00677","ZCTA5 00677","19943","3043",
"8600000US00678","ZCTA5 00678","17144","2014",
"8600000US00680","ZCTA5 00680","14217","1090",
"8600000US00682","ZCTA5 00682","14706","2004",
"8600000US00683","ZCTA5 00683","16332","1332",
"8600000US00685","ZCTA5 00685","15185","1211",
"8600000US00687","ZCTA5 00687","20941","1194",
"8600000US00688","ZCTA5 00688","17874","2062",
"8600000US00690","ZCTA5 00690","18288","7228",
"8600000US00692","ZCTA5 00692","20585","1700",
"8600000US00693","ZCTA5 00693","19576","1007",
"8600000US00694","ZCTA5 00694","-","**",
"8600000US00698","ZCTA5 00698","14794","984",
"8600000US00703","ZCTA5 00703","18846","2920",
"8600000US00704","ZCTA5 00704","17275","2831",
"8600000US00705","ZCTA5 00705","20214","1734",
"8600000US00707","ZCTA5 00707","20760","2866",
"8600000US00714","ZCTA5 00714","17615","2619",
"8600000US00715","ZCTA5 00715","12188","2220",
"8600000US00716","ZCTA5 00716","17969","1892",
"8600000US00717","ZCTA5 00717","12121","963",
"8600000US00718","ZCTA5 00718","19372","2171",
"8600000US00719","ZCTA5 00719","18922","2347",
"8600000US00720","ZCTA5 00720","15295","1365",
"8600000US00723","ZCTA5 00723","16063","1456",
"8600000US00725","ZCTA5 00725","21350","1119",
"8600000US00727","ZCTA5 00727","31688","2144",
"8600000US00728","ZCTA5 00728","19340","1101",
"8600000US00729","ZCTA5 00729","21469","1489",
"8600000US00730","ZCTA5 00730","15723","1205",
"8600000US00731","ZCTA5 00731","15473","2681",
"8600000US00735","ZCTA5 00735","18395","1976",
"8600000US00736","ZCTA5 00736","21894","1454",
"8600000US00738","ZCTA5 00738","19859","1769",
"8600000US00739","ZCTA5 00739","20065","1300",
"8600000US00740","ZCTA5 00740","12944","4625",
"8600000US00741","ZCTA5 00741","22121","8280",
"8600000US00745","ZCTA5 00745","22960","1133",
"8600000US00751","ZCTA5 00751","18087","1793",
"8600000US00754","ZCTA5 00754","19403","1437",
"8600000US00757","ZCTA5 00757","19827","2150",
"8600000US00765","ZCTA5 00765","14880","1963",
"8600000US00766","ZCTA5 00766","19682","1865",
"8600000US00767","ZCTA5 00767","16295","1482",
"8600000US00769","ZCTA5 00769","19700","1699",
"8600000US00771","ZCTA5 00771","21175","2120",
"8600000US00772","ZCTA5 00772","16107","1316",
"8600000US00773","ZCTA5 00773","21850","1845",
"8600000US00775","ZCTA5 00775","22667","5411",
"8600000US00777","ZCTA5 00777","19830","1276",
"8600000US00778","ZCTA5 00778","35183","2996",
"8600000US00780","ZCTA5 00780","21663","2267",
"8600000US00782","ZCTA5 00782","13683","1258",
"8600000US00783","ZCTA5 00783","14995","1321",
"8600000US00784","ZCTA5 00784","17415","1282",
"8600000US00786","ZCTA5 00786","37552","17910",
"8600000US00791","ZCTA5 00791","20269","1563",
"8600000US00794","ZCTA5 00794","17073","1356",
"8600000US00795","ZCTA5 00795","20471","1438",
"8600000US00901","ZCTA5 00901","21469","4618",
"8600000US00906","ZCTA5 00906","106518","45890",
"8600000US00907","ZCTA5 00907","36495","3562",
"8600000US00909","ZCTA5 00909","19443","2096",
"8600000US00911","ZCTA5 00911","35470","4320",
"8600000US00912","ZCTA5 00912","22292","4108",
"8600000US00913","ZCTA5 00913","6493","2064",
"8600000US00915","ZCTA5 00915","12802","836",
"8600000US00917","ZCTA5 00917","15220","1730",
"8600000US00918","ZCTA5 00918","25117","3278",
"8600000US00920","ZCTA5 00920","25809","1605",
"8600000US00921","ZCTA5 00921","18763","1503",
"8600000US00923","ZCTA5 00923","14159","1295",
"8600000US00924","ZCTA5 00924","18176","1304",
"8600000US00925","ZCTA5 00925","11090","2343",
"8600000US00926","ZCTA5 00926","35788","2123",
"8600000US00927","ZCTA5 00927","35268","3404",
"8600000US00934","ZCTA5 00934","-","**",
"8600000US00936","ZCTA5 00936","-","**",
"8600000US00949","ZCTA5 00949","27229","1346",
"8600000US00950","ZCTA5 00950","-","**",
"8600000US00951","ZCTA5 00951","-","**",
"8600000US00952","ZCTA5 00952","14991","1773",
"8600000US00953","ZCTA5 00953","29019","1512",
"8600000US00956","ZCTA5 00956","23127","1112",
"8600000US00957","ZCTA5 00957","26667","2315",
"8600000US00959","ZCTA5 00959","30466","1805",
"8600000US00960","ZCTA5 00960","-","**",
"8600000US00961","ZCTA5 00961","29511","2032",
"8600000US00962","ZCTA5 00962","15497","1388",
"8600000US00965","ZCTA5 00965","15276","1721",
"8600000US00966","ZCTA5 00966","48163","5037",
"8600000US00968","ZCTA5 00968","49099","10571",
"8600000US00969","ZCTA5 00969","50419","3207",
"8600000US00971","ZCTA5 00971","22480","3013",
"8600000US00976","ZCTA5 00976","32377","1328",
"8600000US00979","ZCTA5 00979","34701","3504",
"8600000US00982","ZCTA5 00982","24895","1942",
"8600000US00983","ZCTA5 00983","25750","2218",
"8600000US00985","ZCTA5 00985","26156","1474",
"8600000US00987","ZCTA5 00987","32555","2653",
"8600000US01001","ZCTA5 01001","63949","3784",
"8600000US01002","ZCTA5 01002","61159","8382",
"8600000US01003","ZCTA5 01003","2,500-","***",
"8600000US01005","ZCTA5 01005","67302","6752",
"8600000US01007","ZCTA5 01007","91191","4893",
"8600000US01008","ZCTA5 01008","76333","8804",
"8600000US01009","ZCTA5 01009","80714","32645",
"8600000US01010","ZCTA5 01010","70063","22793",
"8600000US01011","ZCTA5 01011","76500","13932",
"8600000US01012","ZCTA5 01012","67321","9221",
"8600000US01013","ZCTA5 01013","43808","2949",
"8600000US01020","ZCTA5 01020","60561","2837",
"8600000US01022","ZCTA5 01022","46488","7093",
"8600000US01026","ZCTA5 01026","58438","8481",
"8600000US01027","ZCTA5 01027","67119","5247",
"8600000US01028","ZCTA5 01028","87748","6248",
"8600000US01029","ZCTA5 01029","87727","53114",
"8600000US01030","ZCTA5 01030","76000","7269",
"8600000US01031","ZCTA5 01031","38173","10673",
"8600000US01032","ZCTA5 01032","68750","39149",
"8600000US01033","ZCTA5 01033","96979","10710",
"8600000US01034","ZCTA5 01034","87750","10722",
"8600000US01035","ZCTA5 01035","74364","11786",
"8600000US01036","ZCTA5 01036","91646","5674",
"8600000US01037","ZCTA5 01037","80556","23500",
